id;nome;data_inicio;carga_horaria;credito
1;rosa asynchronous connecting;2022-04-19;21304;33249
2;Aço alarm;2022-04-20;93787;58063
3;Eslováquia;2022-04-20;36997;53457
4;Quality District redundant;2022-04-20;84737;94386
5;encoding Atum Directives;2022-04-20;27023;84184
6;reintermediate Peso;2022-04-20;59668;39717
7;transition contextually-based programming;2022-04-19;61967;61855
8;escarlate Atum Quênia;2022-04-19;34717;79517
9;Andorra copying plug-and-play;2022-04-20;66412;69368
10;Crianças Turismo;2022-04-20;96873;78790
